
Gurobi 9.5.0 (linux64) logging started Fri Apr 15 12:12:02 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R5_M60_N150_seed1_DWcutsT5_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 9520 rows, 9300 columns and 278084 nonzeros
Model fingerprint: 0x11c3a024
Variable types: 0 continuous, 9300 integer (9300 binary)
Coefficient statistics:
  Matrix range     [1e-13, 2e+03]
  Objective range  [6e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [3e-14, 2e+02]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 2832 rows and 3600 columns
Presolve time: 0.93s
Presolved: 6688 rows, 5700 columns, 152763 nonzeros
Found heuristic solution: objective -21722.00000
Variable types: 0 continuous, 5700 integer (5700 binary)

Root relaxation: objective -6.305549e+04, 9638 iterations, 1.68 seconds (2.53 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 10729  5411 -63023.397   82  264 -62939.000 -63033.650  0.15%   228  381s
 10810  5461 -63020.400   95  256 -62939.000 -63033.650  0.15%   231  385s
 10969  5567 -62998.897  116  283 -62939.000 -63033.650  0.15%   236  393s
 11062  5631 -63001.371  128  271 -62939.000 -63033.650  0.15%   237  397s
 11162  5722 -62993.800  138  244 -62939.000 -63033.650  0.15%   239  400s
 11433  5822 -62997.067  170  240 -62939.000 -63033.650  0.15%   242  409s
 11553  5884 -62995.612  180  232 -62939.000 -63033.650  0.15%   243  413s
 11702  5994 -62993.650  200  151 -62939.000 -63033.650  0.15%   245  417s
 11883  6118 -62985.978  228  176 -62939.000 -63033.650  0.15%   248  421s
 12160  6219 -62981.223  261  178 -62939.000 -63033.650  0.15%   249  425s
 12416  6218     cutoff  308      -62939.000 -63033.650  0.15%   249  432s
 12539  6452 -63033.432   35  375 -62939.000 -63033.650  0.15%   249  436s
 12877  6593 -62996.778   75  351 -62939.000 -63033.650  0.15%   248  441s
 13318  6780 -62953.217  163  235 -62939.000 -63033.650  0.15%   246  446s
 13804  6865 -63020.946   49  364 -62939.000 -63033.650  0.15%   243  450s
 14115  7158 -62972.732  149  171 -62939.000 -63032.593  0.15%   243  456s
 14561  7562 -63016.663   62  335 -62939.000 -63032.321  0.15%   240  468s
 15160  7839 -62942.694  256  210 -62939.000 -63032.243  0.15%   238  474s
 15695  7814 -62961.733  201  209 -62939.000 -63031.974  0.15%   237  484s
 15867  8144     cutoff  244      -62939.000 -63031.777  0.15%   237  492s
 16319  8471 -63021.760   55  300 -62939.000 -63031.775  0.15%   238  500s
 16856  8924 -62973.226  120  257 -62939.000 -63031.551  0.15%   237  509s
 17660  9487 -62953.670  238  287 -62939.000 -63031.102  0.15%   236  517s
 18590  9707 -63028.636   42  397 -62939.000 -63030.930  0.15%   233  526s
 19184 10061 -63019.548   43  349 -62939.000 -63030.875  0.15%   234  535s
 19796 10335 -62963.480  196  236 -62939.000 -63030.706  0.15%   233  544s
 20380 10645 -62987.916  118  202 -62939.000 -63030.345  0.15%   235  553s
 20971 11290 -63006.893   91  246 -62939.000 -63030.248  0.14%   236  567s
 21988 11381 -63008.670   41  261 -62939.000 -63030.172  0.14%   235  575s
 22527 11264 -63005.377   60  403 -62939.000 -63030.122  0.14%   236  582s
 22594 11339 -62971.148   85  369 -62939.000 -63030.122  0.14%   237  593s
 22694 11833     cutoff  110      -62939.000 -63030.017  0.14%   237  600s

Cutting planes:
  Cover: 100
  Clique: 2
  MIR: 213
  StrongCG: 105
  Flow cover: 78
  RLT: 1

Explored 23308 nodes (5529390 simplex iterations) in 600.01 seconds (1242.33 work units)
Thread count was 4 (of 56 available processors)

Solution count 10: -62939 -62840 -62832 ... -61843

Time limit reached
Best objective -6.293900000000e+04, best bound -6.302996779666e+04, gap 0.1445%
