
Gurobi 9.5.0 (linux64) logging started Sun Jun 19 11:35:43 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R25_M30_N300_seed5_DWcutsCTp5_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 18647 rows, 9750 columns and 237955 nonzeros
Model fingerprint: 0x345e0971
Variable types: 0 continuous, 9750 integer (9750 binary)
Coefficient statistics:
  Matrix range     [1e-13, 2e+04]
  Objective range  [1e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-05, 1e+00]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 3277 rows and 578 columns
Presolve time: 0.70s
Presolved: 15370 rows, 9172 columns, 183509 nonzeros
Variable types: 0 continuous, 9172 integer (9172 binary)
Found heuristic solution: objective -7727.000000

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   21068   -1.2190703e+05   8.241919e+04   0.000000e+00      5s
   31362   -1.2132790e+05   0.000000e+00   0.000000e+00     10s

Root relaxation: objective -1.213279e+05, 31362 iterations, 8.97 seconds (14.27 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  1649  1201 -121168.48   81  478 -120713.00 -121303.13  0.49%   507  345s
  1744  1252     cutoff   98      -120713.00 -121303.13  0.49%   511  350s
  1794  1289 -120753.58  109  313 -120713.00 -121303.13  0.49%   513  359s
  1858  1351 -120914.71  123  322 -120713.00 -121303.13  0.49%   511  361s
  2049  1399     cutoff  162      -120713.00 -121303.13  0.49%   494  367s
  2128  1458 -121252.03   30  753 -120713.00 -121303.13  0.49%   488  370s
  2365  1617 -121076.25   67  429 -120713.00 -121303.13  0.49%   466  375s
  2670  1627 -121220.66   28  680 -120713.00 -121301.81  0.49%   439  381s
  2734  1609 -121205.91   37  656 -120713.00 -121301.81  0.49%   441  389s
  2738  1634 -121199.71   36  621 -120713.00 -121301.81  0.49%   441  392s
H 2753  1579                    -120717.0000 -121301.81  0.48%   442  392s
  2766  1652 -121148.19   41  599 -120717.00 -121301.81  0.48%   443  396s
  2980  1806 -121039.04   77  435 -120717.00 -121301.81  0.48%   434  402s
  3102  1885 -120900.58  122  260 -120717.00 -121300.45  0.48%   430  406s
  3277  1884 -121188.67   32  756 -120717.00 -121300.41  0.48%   420  412s
  3360  1890     cutoff   45      -120717.00 -121300.41  0.48%   420  419s
  3403  1996     cutoff   56      -120717.00 -121299.40  0.48%   420  423s
  3546  1971 -121186.38   35  773 -120717.00 -121299.40  0.48%   417  427s
  3586  2046 -121156.69   41  750 -120717.00 -121299.40  0.48%   415  431s
  3687  2092 -121044.15   64  649 -120717.00 -121299.40  0.48%   416  435s
  3776  2106 -121004.44   80  536 -120717.00 -121299.40  0.48%   419  441s
  3828  2209 -120986.75   89  432 -120717.00 -121292.69  0.48%   418  446s
  3982  2241 -121198.27   29  706 -120717.00 -121288.71  0.47%   415  451s
  4037  2337 -121119.33   42  638 -120717.00 -121288.71  0.47%   417  457s
