
Gurobi 9.5.0 (linux64) logging started Mon Apr  4 18:47:58 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/MKAP_20_100_10_6_objLB_1h.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 321 rows, 2200 columns and 6400 nonzeros
Model fingerprint: 0x474cb60e
Variable types: 0 continuous, 2200 integer (2200 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+03]
  Objective range  [1e+01, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 4e+04]
Found heuristic solution: objective 0.0000000
Presolve removed 20 rows and 20 columns
Presolve time: 0.02s
Presolved: 301 rows, 2180 columns, 6360 nonzeros
Variable types: 0 continuous, 2180 integer (2180 binary)
Found heuristic solution: objective -18216.00000

Root relaxation: objective -4.013000e+04, 693 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -40130.000    0   53 -18216.000 -40130.000   120%     -    0s
H    0     0                    -35751.00000 -40130.000  12.2%     -    0s
H    0     0                    -36702.00000 -40130.000  9.34%     -    0s
H    0     0                    -37071.00000 -40130.000  8.25%     -    0s
 2158105 985827 -39749.512   82   60 -39679.000 -40130.000  1.14%  30.7  940s
 2168567 990947 -39734.033   78   58 -39679.000 -40130.000  1.14%  30.7  945s
 2177241 995922 -39972.681   72   76 -39679.000 -40130.000  1.14%  30.7  950s
 2188994 1002139 -40090.571   56   68 -39679.000 -40130.000  1.14%  30.8  955s
 2198790 1007409 -39907.474   87   59 -39679.000 -40130.000  1.14%  30.8  960s
 2209093 1012708 -40130.000   47   69 -39679.000 -40130.000  1.14%  30.8  965s
 2218013 1017465 -39849.699   78   54 -39679.000 -40130.000  1.14%  30.8  970s
 2229616 1023860 -39917.670   83   61 -39679.000 -40130.000  1.14%  30.9  975s
 2236236 1027204 -39786.850   69   42 -39679.000 -40130.000  1.14%  30.9  980s
 2251911 1034433 -40128.167   42   76 -39679.000 -40130.000  1.14%  30.9  985s
 2263555 1040273 -40104.365   63   57 -39679.000 -40130.000  1.14%  31.0  991s
H2263697 807666                    -39772.00000 -40130.000  0.90%  31.0  991s
 2269221 810598 -40108.001   60   65 -39772.000 -40130.000  0.90%  31.0  995s
 2279219 816509 -39842.643   47   73 -39772.000 -40130.000  0.90%  31.1 1001s
 2287181 818186     cutoff   49      -39772.000 -40130.000  0.90%  31.1 1005s
 2298013 823292 -40130.000   64   64 -39772.000 -40130.000  0.90%  31.2 1010s
 2306008 826997 -39987.680   59   54 -39772.000 -40130.000  0.90%  31.2 1015s
 2314698 830960 -39825.423   82   50 -39772.000 -40130.000  0.90%  31.3 1020s
 2322670 834924 -40130.000   54   61 -39772.000 -40130.000  0.90%  31.3 1025s
 2330089 838428 -39815.153   69   48 -39772.000 -40130.000  0.90%  31.4 1030s
 2341955 844046 -39798.167   45   54 -39772.000 -40130.000  0.90%  31.4 1035s
 2348411 846604 -40112.322   40   81 -39772.000 -40130.000  0.90%  31.5 1040s
 2363240 852561 -39901.161   62   43 -39772.000 -40130.000  0.90%  31.5 1045s
 2373375 856214 -40126.546   41   90 -39772.000 -40130.000  0.90%  31.6 1050s
 2381917 859599 -40032.928   56   80 -39772.000 -40130.000  0.90%  31.7 1055s
 2388317 862609 -39791.263   54   71 -39772.000 -40130.000  0.90%  31.7 1060s
 2396707 866795 -40130.000   47   85 -39772.000 -40130.000  0.90%  31.8 1065s
 2403530 870409 -40045.912   62   60 -39772.000 -40130.000  0.90%  31.8 1070s
 2414055 875240 -39855.860   61   63 -39772.000 -40130.000  0.90%  31.9 1075s
 2422080 878984 -39875.146   63   65 -39772.000 -40130.000  0.90%  31.9 1080s
 2431882 884008     cutoff   74      -39772.000 -40130.000  0.90%  32.0 1086s
 2442242 889639 -40011.038   69   68 -39772.000 -40130.000  0.90%  32.0 1090s
 2450228 893840     cutoff   74      -39772.000 -40130.000  0.90%  32.1 1095s
 2457205 897209 -39864.956   64   60 -39772.000 -40130.000  0.90%  32.1 1100s
 2467877 902577 -39872.839   76   58 -39772.000 -40130.000  0.90%  32.2 1105s
 2475828 907049 -40061.208   66   62 -39772.000 -40130.000  0.90%  32.2 1110s
 2484635 911476 -40052.940   50   82 -39772.000 -40130.000  0.90%  32.2 1115s
 2492108 914758     cutoff   76      -39772.000 -40130.000  0.90%  32.3 1120s
 2499317 920242 -40048.252   41   78 -39772.000 -40130.000  0.90%  32.3 1125s
 2511776 924464 -40039.805   48   82 -39772.000 -40130.000  0.90%  32.4 1130s
