
Gurobi 9.5.0 (linux64) logging started Mon Apr  4 19:48:02 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/MKAP_20_100_10_6_DWcuts_1h.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 520 rows, 2200 columns and 6600 nonzeros
Model fingerprint: 0x607dd556
Variable types: 0 continuous, 2200 integer (2200 binary)
Coefficient statistics:
  Matrix range     [1e-10, 2e+03]
  Objective range  [1e+01, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-13, 1e+00]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 2 rows and 1 columns
Presolve time: 0.02s
Presolved: 518 rows, 2199 columns, 6567 nonzeros
Variable types: 0 continuous, 2199 integer (2199 binary)
Found heuristic solution: objective -4827.000000

Root relaxation: objective -4.013020e+04, 3543 iterations, 0.06 seconds (0.07 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -40130.198    0   63 -4827.0000 -40130.198   731%     -    0s
H    0     0                    -36603.00000 -40130.198  9.64%     -    0s
H    0     0                    -37669.00000 -40130.198  6.53%     -    0s
H    0     0                    -38121.00000 -40130.198  5.27%     -    0s
H    0     0                    -38373.00000 -40130.198  4.58%     -    0s
H    0     0                    -38556.00000 -40130.198  4.08%     -    0s
     0     0 -40130.198    0  128 -38556.000 -40130.198  4.08%     -    0s
H    0     0                    -38732.00000 -40130.198  3.61%     -    0s
 274591 166282 -39601.389   87  100 -39571.000 -40123.506  1.40%  71.8  370s
 280225 169686 -40109.498   58  144 -39571.000 -40123.415  1.40%  71.7  375s
 285493 172969 -40092.994   39  169 -39571.000 -40123.322  1.40%  71.7  380s
 291251 176467 -39760.021   80  124 -39571.000 -40123.214  1.40%  71.5  385s
 296644 179953 -39614.874   98   71 -39571.000 -40123.127  1.40%  71.5  390s
 302126 183330 -39738.578   55  148 -39571.000 -40123.037  1.40%  71.4  395s
 307161 186354 -40029.488   56  106 -39571.000 -40122.951  1.39%  71.5  400s
 312662 189861 -40109.216   55  171 -39571.000 -40122.833  1.39%  71.6  405s
 317727 192896 -39687.576   69  151 -39571.000 -40122.743  1.39%  71.7  410s
 322954 196192 -39679.953   66  151 -39571.000 -40122.645  1.39%  71.7  415s
 328213 199269 -39912.892   60  133 -39571.000 -40122.561  1.39%  71.7  420s
 333562 202713 -39789.001   63  101 -39571.000 -40122.459  1.39%  71.6  425s
 339048 206191 -39575.489   75  145 -39571.000 -40122.386  1.39%  71.6  430s
 344962 209752 -40063.926   51  182 -39571.000 -40122.303  1.39%  71.5  435s
 350359 212980 -40111.775   48  138 -39571.000 -40122.230  1.39%  71.4  440s
 356005 216293 -39985.604   71  188 -39571.000 -40122.145  1.39%  71.4  445s
 361525 219683 -39627.295   56  145 -39571.000 -40122.059  1.39%  71.3  450s
 367601 223681 -40105.280   49  152 -39571.000 -40121.978  1.39%  71.3  455s
 372603 226723 -39985.168   60  162 -39571.000 -40121.900  1.39%  71.3  460s
 378616 230309 -39809.298   55  126 -39571.000 -40121.807  1.39%  71.2  465s
 383268 233259 -39713.202   65  146 -39571.000 -40121.756  1.39%  71.3  470s
 388291 236250 -39803.993   76  121 -39571.000 -40121.684  1.39%  71.3  475s
 393157 239387 -39683.509   69  151 -39571.000 -40121.624  1.39%  71.5  480s
 397573 242305 -40028.025   57  154 -39571.000 -40121.562  1.39%  71.5  485s
 402575 245256 -39674.581   77  116 -39571.000 -40121.488  1.39%  71.4  490s
 407665 248414 -39851.606   61  163 -39571.000 -40121.413  1.39%  71.4  495s
 412396 251621 -40083.397   46  140 -39571.000 -40121.342  1.39%  71.4  500s
 417007 254389 -39823.916   58  132 -39571.000 -40121.271  1.39%  71.4  505s
 421812 257223 -39807.883   61  132 -39571.000 -40121.204  1.39%  71.4  510s
 426897 260263 -39789.160   55  134 -39571.000 -40121.124  1.39%  71.3  515s
 432199 263571     cutoff   66      -39571.000 -40121.041  1.39%  71.3  520s
 437065 266633 -39750.910   68  162 -39571.000 -40120.986  1.39%  71.2  525s
 442097 269734     cutoff   66      -39571.000 -40120.919  1.39%  71.2  530s
 446543 272700 -39692.771   58  128 -39571.000 -40120.867  1.39%  71.2  535s
 451344 275551 -40107.635   60  142 -39571.000 -40120.800  1.39%  71.2  540s
 455871 278531 -39631.188   73  118 -39571.000 -40120.739  1.39%  71.2  545s
 460653 281529 -39643.445   63  179 -39571.000 -40120.682  1.39%  71.2  550s
 465674 284537 -39915.715   56  140 -39571.000 -40120.603  1.39%  71.2  555s
 469877 287101 -39721.839   72  139 -39571.000 -40120.556  1.39%  71.2  560s
 473827 289431 -39993.195   55  151 -39571.000 -40120.507  1.39%  71.2  565s
 479017 292768     cutoff   81      -39571.000 -40120.445  1.39%  71.1  570s
 483378 295277 -39963.530   65  105 -39571.000 -40120.394  1.39%  71.1  575s
 487725 297981 -40021.254   65  157 -39571.000 -40120.342  1.39%  71.1  580s
H490504 299323                    -39572.00000 -40120.315  1.39%  71.1  583s
H491657 298155                    -39577.00000 -40120.305  1.37%  71.1  584s
 491926 298512 -39829.050   63  176 -39577.000 -40120.296  1.37%  71.1  585s
 496736 301406 -40117.967   38  173 -39577.000 -40120.219  1.37%  71.1  590s
H500590 295514                    -39595.00000 -40120.172  1.33%  71.1  594s
 501113 295926 -39845.494   63  164 -39595.000 -40120.160  1.33%  71.1  595s
H504912 291470                    -39607.00000 -40120.104  1.30%  71.1  599s
H505514 255047                    -39661.00006 -40120.097  1.16%  71.1  600s
 510434 257654 -40046.004   72  108 -39661.000 -40120.036  1.16%  71.0  605s
 514689 259889 -39953.453   58  120 -39661.000 -40119.964  1.16%  71.0  610s
 518756 262073 -40115.953   41  171 -39661.000 -40119.910  1.16%  71.0  615s
 523402 264731 -39949.916   58  121 -39661.000 -40119.846  1.16%  71.0  620s
 528158 267537 -40040.673   59  141 -39661.000 -40119.778  1.16%  71.0  625s
 532751 270113 -39815.735   66  158 -39661.000 -40119.718  1.16%  70.9  630s
 537525 272723 -40095.267   61  148 -39661.000 -40119.654  1.16%  70.9  635s
 541888 275175 -40095.156   55  129 -39661.000 -40119.605  1.16%  70.9  640s
 546272 277792     cutoff   65      -39661.000 -40119.527  1.16%  70.9  645s
 551118 280477 -39906.236   61  154 -39661.000 -40119.464  1.16%  70.8  650s
 555480 282804 -39988.715   58  135 -39661.000 -40119.454  1.16%  70.9  655s
 557965 283931 -39677.581   56  212 -39661.000 -40119.428  1.16%  70.9  660s
 557981 283946 -40119.428   41  188 -39661.000 -40119.428  1.16%  70.9  665s
 558108 284039 -40038.685   56  155 -39661.000 -40119.428  1.16%  71.0  670s
 558944 284712 -39932.240  144  137 -39661.000 -40119.428  1.16%  71.0  675s
 561398 285940 -39967.666   90  124 -39661.000 -40119.428  1.16%  71.1  680s
 563960 287128 -40119.428   55  166 -39661.000 -40119.428  1.16%  71.3  685s
H567513 274099                    -39665.00000 -40119.428  1.15%  71.4  688s
 568778 275152 -39715.293  107  133 -39665.000 -40119.428  1.15%  71.5  691s
 572512 276140     cutoff  128      -39665.000 -40119.428  1.15%  71.5  695s
 576338 277590 -39908.029   66  158 -39665.000 -40119.428  1.15%  71.7  700s
H578452 264167                    -39670.00000 -40119.428  1.13%  71.7  702s
 579273 264790 -39994.701   72  183 -39670.000 -40119.428  1.13%  71.8  705s
 584356 266430 -40027.276   80  160 -39670.000 -40119.428  1.13%  71.9  710s
 588443 267707 -39701.182   79  155 -39670.000 -40119.428  1.13%  72.0  715s
 591980 268865 -39910.247   75  147 -39670.000 -40119.428  1.13%  72.2  720s
 596569 270576 -39902.122   73  160 -39670.000 -40119.428  1.13%  72.3  725s
 601631 271977 -39847.216   62  157 -39670.000 -40119.428  1.13%  72.3  730s
