
Gurobi 9.5.0 (linux64) logging started Wed May  4 10:24:32 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R25_M30_N200_seed6_original_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 980 rows, 6750 columns and 13500 nonzeros
Model fingerprint: 0x47dd3b95
Variable types: 0 continuous, 6750 integer (6750 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+03]
  Objective range  [1e+01, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 0.0000000
Presolve removed 107 rows and 1067 columns
Presolve time: 0.04s
Presolved: 873 rows, 5683 columns, 11366 nonzeros
Found heuristic solution: objective -36358.00000
Variable types: 0 continuous, 5683 integer (5683 binary)
Found heuristic solution: objective -36560.00000

Root relaxation: objective -8.541045e+04, 3192 iterations, 0.04 seconds (0.03 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -85020.807    0  541 -81108.000 -85020.807  4.82%     -    5s
     0     0 -84957.747    0  499 -81108.000 -84957.747  4.75%     -    5s
     0     0 -84946.124    0  528 -81108.000 -84946.124  4.73%     -    6s
     0     0 -84942.953    0  517 -81108.000 -84942.953  4.73%     -    6s
     0     0 -84941.852    0  494 -81108.000 -84941.852  4.73%     -    6s
     0     0 -84900.343    0  542 -81108.000 -84900.343  4.68%     -    6s
H    0     0                    -81116.00000 -84887.121  4.65%     -    6s
     0     0 -84887.121    0  545 -81116.000 -84887.121  4.65%     -    6s
     0     0 -84883.629    0  544 -81116.000 -84883.629  4.64%     -    6s
     0     0 -84882.108    0  555 -81116.000 -84882.108  4.64%     -    6s
     0     0 -84836.000    0  499 -81116.000 -84836.000  4.59%     -    6s
     0     0 -84823.360    0  442 -81116.000 -84823.360  4.57%     -    6s
H    0     0                    -81350.00000 -84818.513  4.26%     -    7s
     0     0 -84818.513    0  442 -81350.000 -84818.513  4.26%     -    7s
     0     0 -84816.402    0  481 -81350.000 -84816.402  4.26%     -    7s
     0     0 -84815.692    0  435 -81350.000 -84815.692  4.26%     -    7s
     0     0 -84764.678    0  522 -81350.000 -84764.678  4.20%     -    7s
     0     0 -84760.305    0  477 -81350.000 -84760.305  4.19%     -    7s
     0     0 -84760.001    0  489 -81350.000 -84760.001  4.19%     -    7s
     0     0 -84735.634    0  508 -81350.000 -84735.634  4.16%     -    7s
     0     0 -84721.252    0  452 -81350.000 -84721.252  4.14%     -    7s
     0     0 -84715.813    0  463 -81350.000 -84715.813  4.14%     -    7s
     0     0 -84715.247    0  450 -81350.000 -84715.247  4.14%     -    7s
     0     0 -84669.844    0  417 -81350.000 -84669.844  4.08%     -    7s
H    0     0                    -82223.00000 -84669.844  2.98%     -    7s
     0     0 -84666.919    0  455 -82223.000 -84666.919  2.97%     -    7s
     0     0 -84663.605    0  416 -82223.000 -84663.605  2.97%     -    8s
     0     0 -84663.507    0  428 -82223.000 -84663.507  2.97%     -    8s
     0     0 -84600.622    0  418 -82223.000 -84600.622  2.89%     -    8s
     0     0 -84592.380    0  459 -82223.000 -84592.380  2.88%     -    8s
     0     0 -84588.892    0  469 -82223.000 -84588.892  2.88%     -    8s
     0     0 -84588.232    0  467 -82223.000 -84588.232  2.88%     -    8s
     0     0 -84558.823    0  541 -82223.000 -84558.823  2.84%     -    8s
     0     0 -84556.226    0  512 -82223.000 -84556.226  2.84%     -    8s
     0     0 -84536.278    0  461 -82223.000 -84536.278  2.81%     -    8s
     0     0 -84521.419    0  487 -82223.000 -84521.419  2.80%     -    8s
     0     0 -84499.417    0  458 -82223.000 -84499.417  2.77%     -    8s
     0     0 -84497.191    0  481 -82223.000 -84497.191  2.77%     -    8s
     0     0 -84465.678    0  479 -82223.000 -84465.678  2.73%     -    8s
     0     0 -84463.956    0  454 -82223.000 -84463.956  2.73%     -    8s
     0     0 -84441.386    0  466 -82223.000 -84441.386  2.70%     -    9s
     0     0 -84441.386    0  466 -82223.000 -84441.386  2.70%     -    9s
     0     2 -84441.386    0  461 -82223.000 -84441.386  2.70%     -    9s
     3     8 -84435.605    2  448 -82223.000 -84435.605  2.69%   105   10s
H   31    36                    -82970.00000 -84426.996  1.76%  97.1   10s
H   33    36                    -83454.00000 -84426.996  1.17%  94.1   10s
H  161   158                    -83472.00000 -84426.996  1.14%  73.6   12s
   747   690 -83952.792  136  318 -83472.000 -84426.996  1.14%  60.0   15s
H  854   696                    -83627.00000 -84424.112  0.95%  62.6   15s
H  856   693                    -83632.00000 -84424.112  0.95%  63.3   15s
  1051   866 -84136.850   30  490 -83632.000 -84418.477  0.94%  66.6   20s
H 1090   846                    -83638.00000 -84236.578  0.72%  64.2   24s
H 1092   804                    -83645.00000 -84227.418  0.70%  64.1   24s
  1107   814 -84176.082   52  401 -83645.000 -84176.082  0.63%  63.2   25s
H 1118   778                    -83760.00000 -84125.764  0.44%  62.6   26s
  1164   810 -83845.282  107  480 -83760.000 -83984.812  0.27%  96.7   30s
  1237   859 -83827.224   80  294 -83760.000 -83909.768  0.18%  91.0   35s
H 1279   842                    -83784.00000 -83906.346  0.15%   107   37s
H 1321   826                    -83796.00000 -83896.583  0.12%   115   39s
  1350   846 -83888.042   98  242 -83796.000 -83888.042  0.11%   113   40s
H 1423   828                    -83833.00000 -83877.971  0.05%   122   43s
H 1440   780                    -83851.00000 -83872.117  0.03%   121   43s

Cutting planes:
  Gomory: 35
  Lift-and-project: 12
  Cover: 398
  Clique: 80
  MIR: 84
  StrongCG: 43
  Flow cover: 46
  Zero half: 3
  RLT: 6

Explored 1469 nodes (220742 simplex iterations) in 43.68 seconds (45.48 work units)
Thread count was 4 (of 56 available processors)

Solution count 10: -83851 -83833 -83796 ... -83472
No other solutions better than -83851

Optimal solution found (tolerance 1.00e-04)
Best objective -8.385100000000e+04, best bound -8.385100000000e+04, gap 0.0000%
