
Gurobi 9.5.0 (linux64) logging started Sun Jun 19 14:42:27 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R25_M30_N300_seed6_DWcutsCTp2_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 3850 rows, 9750 columns and 53930 nonzeros
Model fingerprint: 0x455a28e0
Variable types: 0 continuous, 9750 integer (9750 binary)
Coefficient statistics:
  Matrix range     [1e-13, 5e+03]
  Objective range  [3e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-05, 1e+00]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 141 rows and 992 columns
Presolve time: 0.13s
Presolved: 3709 rows, 8758 columns, 48851 nonzeros
Found heuristic solution: objective -8329.000000
Variable types: 0 continuous, 8758 integer (8758 binary)
Warning: Markowitz tolerance tightened to 0.03125

Root relaxation: objective -1.222995e+05, 25864 iterations, 2.99 seconds (3.31 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  7577  4865 -122227.83   49  668 -121764.00 -122257.17  0.41%   256  310s
  8035  5185 -121904.10  142  293 -121764.00 -122256.07  0.40%   249  315s
  8442  5536 -122086.87   56  429 -121764.00 -122254.89  0.40%   245  320s
  8926  5788 -121877.14   68  403 -121764.00 -122254.41  0.40%   240  325s
  9244  5969 -121777.23   41  686 -121764.00 -122253.88  0.40%   240  330s
  9545  6270 -122055.72   71  520 -121764.00 -122253.00  0.40%   241  336s
  9934  6510 -122013.13   59  625 -121764.00 -122252.17  0.40%   241  342s
 10232  6511 -122239.02   56  607 -121764.00 -122252.17  0.40%   243  347s
 10234  6512 -122057.43  124  574 -121764.00 -122252.17  0.40%   242  350s
 10244  6519 -122052.30  104  626 -121764.00 -122252.17  0.40%   242  355s
 10249  6522 -121954.80  128  599 -121764.00 -122252.17  0.40%   242  361s
 10252  6527 -122252.17   41  594 -121764.00 -122252.17  0.40%   247  377s
 10254  6531 -122252.17   42  590 -121764.00 -122252.17  0.40%   247  390s
 10262  6534 -122241.50   43  572 -121764.00 -122252.17  0.40%   247  397s
 10270  6538 -122252.17   44  519 -121764.00 -122252.17  0.40%   248  400s
 10286  6550 -122252.17   46  557 -121764.00 -122252.17  0.40%   248  406s
 10301  6559 -122252.17   47  547 -121764.00 -122252.17  0.40%   249  410s
 10314  6561 -122252.17   48  494 -121764.00 -122252.17  0.40%   250  415s
 10353  6582 -122252.17   53  404 -121764.00 -122252.17  0.40%   252  420s
 10386  6599 -122252.17   57  423 -121764.00 -122252.17  0.40%   254  425s
 10428  6630 -122238.10   61  396 -121764.00 -122252.17  0.40%   256  431s
 10480  6659 -122252.17   67  284 -121764.00 -122252.17  0.40%   258  436s
 10542  6687 -122252.17   73  389 -121764.00 -122252.17  0.40%   261  441s
 10612  6745 -122191.15   79  361 -121764.00 -122252.17  0.40%   263  446s
 10680  6759 -122252.17   86  333 -121764.00 -122252.17  0.40%   264  450s
 10774  6832 -122252.17   92  411 -121764.00 -122252.17  0.40%   268  456s
 10878  6900 -122249.80  105  447 -121764.00 -122252.17  0.40%   270  460s
 11133  6991 -122238.56  124  369 -121764.00 -122252.17  0.40%   270  466s
 11321  7085 -122044.19  136  342 -121764.00 -122252.17  0.40%   271  470s
 11581  7167 -122200.85  157  362 -121764.00 -122252.17  0.40%   269  477s
 11810  7327 -122191.71  170  329 -121764.00 -122252.17  0.40%   268  481s
 12212  7455 -122156.53  195  375 -121764.00 -122252.17  0.40%   265  485s
 12952  7872 -122028.65  271  261 -121764.00 -122252.17  0.40%   259  491s
 13558  8073 -122107.23   74  372 -121764.00 -122252.17  0.40%   254  496s
 14024  8311 -121949.76   75  390 -121764.00 -122252.17  0.40%   255  502s
 14363  8681 -122121.13  120  434 -121764.00 -122252.17  0.40%   254  513s
 14920  8941 -121773.26   70  384 -121764.00 -122252.17  0.40%   250  518s
 15494  9557 -122150.75  115  331 -121764.00 -122252.17  0.40%   247  528s
 16417  9954 -122172.22   56  523 -121764.00 -122252.17  0.40%   239  534s
 17329  9736 -122249.15   72  622 -121764.00 -122252.17  0.40%   234  542s
 17427 10387 -122178.80   87  526 -121764.00 -122252.17  0.40%   234  552s
 18383 10767 -122120.76   70  368 -121764.00 -122252.17  0.40%   229  558s
 19263 11219 -121971.36  118  342 -121764.00 -122252.17  0.40%   224  564s
 20224 11264 -122238.79   62  504 -121764.00 -122252.17  0.40%   219  570s
 20698 12516 -121922.25   79  436 -121764.00 -122252.17  0.40%   218  581s
 22430 12209 -122058.32  127  495 -121764.00 -122252.17  0.40%   211  585s
 23516 12624 -122175.76   57  553 -121764.00 -122252.17  0.40%   208  598s
 23772 12667 -121793.37   88  388 -121764.00 -122252.17  0.40%   209  600s

Cutting planes:
  Gomory: 2
  Cover: 294
  Clique: 328
  MIR: 24
  StrongCG: 31
  Flow cover: 94
  Zero half: 1

Explored 23965 nodes (5034781 simplex iterations) in 600.00 seconds (1098.16 work units)
Thread count was 4 (of 56 available processors)

Solution count 10: -121764 -121726 -121709 ... -121214

Time limit reached
Best objective -1.217640000000e+05, best bound -1.222520000000e+05, gap 0.4008%
