
Gurobi 9.5.0 (linux64) logging started Sat Apr 30 01:34:53 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new1W_R25_M30_N300_seed1_DWcutsCT4_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 11321 rows, 9750 columns and 149242 nonzeros
Model fingerprint: 0x02197ff1
Variable types: 0 continuous, 9750 integer (9750 binary)
Coefficient statistics:
  Matrix range     [1e-13, 8e+03]
  Objective range  [1e+01, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-16, 1e+00]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 1263 rows and 594 columns
Presolve time: 0.44s
Presolved: 10058 rows, 9156 columns, 128550 nonzeros
Found heuristic solution: objective -6939.000000
Variable types: 0 continuous, 9156 integer (9156 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   24074   -9.6162851e+04   1.263558e+04   0.000000e+00      5s
   27867   -9.6110010e+04   0.000000e+00   0.000000e+00      7s

Root relaxation: objective -9.611001e+04, 27867 iterations, 6.28 seconds (7.46 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  3460  2045 -95702.588   63  651 -95599.000 -96098.934  0.52%   273  317s
  3552  2095 -95621.531   80  484 -95599.000 -96098.107  0.52%   274  320s
  3775  2084 -95957.900   57  592 -95599.000 -96098.107  0.52%   272  330s
  3884  2212 -95676.457  115  360 -95599.000 -96096.976  0.52%   273  337s
  4000  2265 -96086.517   38  608 -95599.000 -96096.775  0.52%   273  341s
  4132  2285 -95948.054   64  570 -95599.000 -96096.775  0.52%   274  345s
  4351  2307 -95823.093   35  708 -95599.000 -96094.312  0.52%   275  354s
  4361  2410 -95814.842   36  695 -95599.000 -96094.312  0.52%   275  358s
  4483  2496 -95674.650   71  451 -95599.000 -96088.115  0.51%   276  362s
  4626  2482 -95990.838   33  625 -95599.000 -96088.115  0.51%   277  367s
  4663  2667     cutoff   36      -95599.000 -96087.834  0.51%   278  373s
  4938  2763 -95698.537   53  539 -95599.000 -96083.006  0.51%   273  377s
  5062  2829 -95937.012   43  537 -95599.000 -96083.006  0.51%   276  384s
  5139  2970 -95681.465   48  463 -95599.000 -96082.232  0.51%   277  390s
  5340  3134 -95720.393   38  590 -95599.000 -96082.055  0.51%   279  397s
H 5360  3064                    -95621.00000 -96082.055  0.48%   279  397s
  5555  3228 -95624.528   46  409 -95621.000 -96081.325  0.48%   277  403s
  5788  3365     cutoff   31      -95621.000 -96080.287  0.48%   274  410s
  5983  3496 -96026.812   29  766 -95621.000 -96080.287  0.48%   275  418s
  6174  3653 -95795.107   45  477 -95621.000 -96080.287  0.48%   275  426s
  6408  3881     cutoff   77      -95621.000 -96079.279  0.48%   276  433s
  6669  4090 -95730.789   76  586 -95621.000 -96078.381  0.48%   276  442s
