
Gurobi 9.5.0 (linux64) logging started Sun Jun 19 01:01:02 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R25_M30_N300_seed2_DWcutsCTp3_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 6102 rows, 9750 columns and 82720 nonzeros
Model fingerprint: 0x84ef90a4
Variable types: 0 continuous, 9750 integer (9750 binary)
Coefficient statistics:
  Matrix range     [1e-13, 5e+03]
  Objective range  [2e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-05, 1e+00]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 292 rows and 1000 columns
Presolve time: 0.21s
Presolved: 5810 rows, 8750 columns, 74545 nonzeros
Found heuristic solution: objective -9532.000000
Variable types: 0 continuous, 8750 integer (8750 binary)
Warning: Markowitz tolerance tightened to 0.03125
Warning: Markowitz tolerance tightened to 0.0625

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   28556   -1.1714272e+05   8.007640e+02   0.000000e+00      5s
   36394   -1.1699900e+05   0.000000e+00   0.000000e+00      7s

Root relaxation: objective -1.169990e+05, 36394 iterations, 6.91 seconds (8.69 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 10994  6264     cutoff   57      -116794.00 -116997.06  0.17%   219  471s
 11030  6273 -116809.14   66  514 -116794.00 -116997.06  0.17%   220  475s
 11057  6283 -116802.29   72  518 -116794.00 -116997.06  0.17%   221  484s
 11074  6294 -116994.63   44  674 -116794.00 -116997.06  0.17%   221  485s
 11148  6318 -116974.52   60  566 -116794.00 -116997.06  0.17%   222  491s
 11219  6330 -116813.37   84  428 -116794.00 -116997.06  0.17%   224  501s
 11284  6363 -116804.18  106  417 -116794.00 -116997.06  0.17%   224  507s
 11307  6395 -116804.17  107  392 -116794.00 -116997.06  0.17%   225  512s
 11370  6414 -116797.91  126  293 -116794.00 -116997.06  0.17%   225  515s
 11533  6518 -116875.77   80  539 -116794.00 -116997.06  0.17%   228  521s
 11724  6583 -116833.25  144  275 -116794.00 -116997.06  0.17%   230  528s
 11804  6611 -116820.64  178  294 -116794.00 -116997.06  0.17%   229  532s
 11893  6610 -116812.72  235  203 -116794.00 -116997.06  0.17%   229  537s
 11927  6655     cutoff  237      -116794.00 -116997.06  0.17%   230  541s
 12112  6746 -116990.07   58  562 -116794.00 -116995.67  0.17%   231  547s
 12282  6903 -116903.45   45  694 -116794.00 -116992.78  0.17%   233  551s
 12615  7106 -116955.26   74  474 -116794.00 -116991.79  0.17%   233  557s
 13025  7223 -116878.18   53  558 -116794.00 -116990.59  0.17%   232  561s
 13396  7480 -116854.86   71  413 -116794.00 -116990.45  0.17%   233  567s
 13893  7597 -116911.41   57  521 -116794.00 -116990.15  0.17%   232  572s
 14331  7726 -116812.05   89  494 -116794.00 -116989.99  0.17%   231  577s
 14757  7986 -116948.24   68  510 -116794.00 -116989.68  0.17%   231  582s
 15307  7996 -116807.75   55  467 -116794.00 -116989.43  0.17%   230  588s
 15608  8051 -116827.66   95  363 -116794.00 -116989.26  0.17%   230  594s
 15810  8313 -116825.89   65  527 -116794.00 -116989.07  0.17%   230  600s

Cutting planes:
  Cover: 111
  Clique: 107
  MIR: 11
  StrongCG: 10
  Flow cover: 28
  Zero half: 1

Explored 16295 nodes (3804007 simplex iterations) in 600.01 seconds (1144.49 work units)
Thread count was 4 (of 56 available processors)

Solution count 10: -116794 -116735 -116631 ... -115090

Time limit reached
Best objective -1.167940000000e+05, best bound -1.169889729124e+05, gap 0.1669%
