2S	30	50	2	2	899	1559	914	805	693	693	693	693	693	693	
0U	30	50	2	3	928	1559	666	569	564	553	522	350	411	411	
1W	30	50	2	3	928	1559	879	716	644	647	651	628	646	646	
2S	30	50	2	3	870	1559	1446	1218	1165	1060	1018	977	964	971	
0U	30	50	2	4	841	1559	906	830	830	827	828	828	827	827	
1W	30	50	2	4	1015	1559	959	762	726	684	680	680	680	680	
2S	30	50	2	4	841	1559	895	260	219	214	214	214	214	214	
0U	30	50	2	5	899	1559	1372	963	960	947	430	570	907	834	
1W	30	50	2	5	899	1559	929	781	258	276	232	232	232	232	
2S	30	50	2	5	899	1559	1055	1108	1172	1155	1081	1048	1048	1048	
0U	30	50	2	6	870	1559	500	21	31	42	48	47	47	47	
1W	30	50	2	6	899	1559	1447	1129	1078	1037	1007	1009	1009	1009	
2S	30	50	2	6	957	1559	1445	1075	1041	824	676	671	671	671	
0U	30	50	2	7	928	1559	1355	1132	208	97	65	107	72	142	
1W	30	50	2	7	870	1559	1440	968	380	351	553	569	671	228	
2S	30	50	2	7	899	1559	1371	1330	1161	786	593	417	478	478	
0U	30	50	2	8	899	1559	831	769	769	767	763	763	763	763	
1W	30	50	2	8	986	1559	1414	1267	1286	1304	1304	1304	1304	1304	
2S	30	50	2	8	841	1559	913	722	719	448	604	604	604	604	
0U	30	50	2	9	899	1559	918	119	64	93	152	130	130	130	
1W	30	50	2	9	870	1559	1024	824	810	803	671	795	795	795	
2S	30	50	2	9	899	1559	1271	944	955	457	716	628	672	816	
0U	30	50	2	10	870	1559	962	700	686	633	592	589	613	613	
1W	30	50	2	10	928	1559	881	703	630	630	630	630	630	630	
2S	30	50	2	10	957	1559	962	768	755	766	765	744	734	734	
0U	40	50	2	1	1248	2079	1410	202	217	273	273	273	273	273	
1W	40	50	2	1	1131	2079	1237	1084	1083	1084	1084	1084	1084	1084	
2S	40	50	2	1	1248	2079	1062	1069	1077	1077	1077	1077	1077	1077	
0U	40	50	2	2	1170	2079	1967	1835	1847	1847	1847	1847	1847	1847	
1W	40	50	2	2	1248	2079	1034	450	140	142	164	164	164	164	
2S	40	50	2	2	1131	2079	1951	1853	1853	1853	1853	1853	1853	1853	
0U	40	50	2	3	1248	2079	1909	1797	1704	1759	1749	1571	1571	1571	
1W	40	50	2	3	1170	2079	1899	1826	1767	1576	1576	1576	1576	1576	
2S	40	50	2	3	1170	2079	1159	904	904	904	904	904	904	904	
0U	40	50	2	4	1131	2079	1857	1818	1601	1684	1540	1306	1306	1306	
1W	40	50	2	4	1365	2079	1121	266	136	77	77	77	77	77	
2S	40	50	2	4	1131	2079	1603	1819	1711	1711	1711	1711	1711	1711	
0U	40	50	2	5	1209	2079	1149	1911	1883	1883	1883	1883	1883	1883	
1W	40	50	2	5	1209	2079	1782	1795	664	941	716	716	716	716	
2S	40	50	2	5	1288	2079	1901	965	1009	979	979	979	979	979	
0U	40	50	2	6	1170	2079	1075	737	404	239	375	375	375	375	
1W	40	50	2	6	1170	2079	1817	1625	1649	1699	1699	1699	1699	1699	
2S	40	50	2	6	1248	2079	1968	989	960	960	960	960	960	960	
0U	40	50	2	7	1248	2079	1884	1843	1843	1835	1835	1835	1835	1835	
1W	40	50	2	7	1131	2079	1913	1654	1875	1886	1886	1886	1886	1886	
2S	40	50	2	7	1209	2079	1041	956	837	837	837	837	837	837	
0U	40	50	2	8	1209	2079	1053	262	222	317	355	355	355	355	
1W	40	50	2	8	1287	2079	1009	522	522	522	522	522	522	522	
2S	40	50	2	8	1170	2079	1887	1555	1628	1609	1538	1102	1102	1102	
0U	40	50	2	9	1209	2079	1042	348	348	348	348	348	348	348	
1W	40	50	2	9	1209	2079	1907	1678	1588	1804	1776	1776	1776	1776	
2S	40	50	2	9	1287	2079	1179	1144	1154	1156	1156	1156	1156	1156	
0U	40	50	2	10	1170	2079	1226	120	125	135	128	128	128	128	
1W	40	50	2	10	1209	2079	1085	284	325	325	325	325	325	325	
2S	40	50	2	10	1209	2079	1204	1116	1165	1165	1165	1165	1165	1165	
0U	10	50	5	1	288	549	458	244	188	95	63	57	45	44	
1W	10	50	5	1	279	549	270	138	32	12	22	14	19	19	
2S	10	50	5	1	261	549	272	106	3	0	6	3	6	4	
0U	10	50	5	2	270	549	461	199	135	62	31	25	25	29	
1W	10	50	5	2	279	549	460	246	206	154	109	100	95	96	
2S	10	50	5	2	279	549	464	209	166	78	35	25	13	7	
0U	10	50	5	3	288	549	449	239	130	97	116	107	98	95	
1W	10	50	5	3	279	549	440	305	248	181	164	82	164	153	
2S	10	50	5	3	297	549	458	285	247	173	76	67	67	74	
0U	10	50	5	4	261	549	462	226	190	111	65	64	70	65	
1W	10	50	5	4	315	549	456	286	240	159	94	78	77	84	
2S	10	50	5	4	279	549	462	299	262	190	144	13	22	20	
0U	10	50	5	5	279	549	459	286	243	225	181	91	106	91	
1W	10	50	5	5	288	549	460	262	32	137	84	37	61	69	
2S	10	50	5	5	252	549	438	94	193	73	27	42	44	53	
0U	10	50	5	6	270	549	451	226	198	161	121	104	109	104	
1W	10	50	5	6	279	549	261	213	179	147	106	39	58	62	
2S	10	50	5	6	288	549	461	291	255	197	142	117	128	118	
0U	10	50	5	7	288	549	288	227	201	152	36	25	27	32	
1W	10	50	5	7	261	549	463	208	156	77	29	38	24	10	
2S	10	50	5	7	306	549	458	269	215	177	94	101	93	91	
0U	10	50	5	8	279	549	440	239	194	126	93	74	84	83	
1W	10	50	5	8	306	549	457	290	250	172	100	88	74	75	
2S	10	50	5	8	261	549	464	215	163	135	80	73	17	16	
0U	10	50	5	9	279	549	460	293	240	138	137	124	123	125	
1W	10	50	5	9	261	549	261	110	47	7	6	7	6	11	
2S	10	50	5	9	279	549	462	246	204	128	61	23	27	24	
0U	10	50	5	10	279	549	460	235	194	146	114	103	108	104	
1W	10	50	5	10	288	549	460	257	131	62	44	42	58	51	
2S	10	50	5	10	270	549	462	235	192	110	68	67	9	13	
0U	20	50	5	1	608	1099	559	297	322	149	181	132	150	150	
1W	20	50	5	1	570	1099	932	582	499	487	427	423	226	226	
2S	20	50	5	1	513	1099	954	488	456	400	392	383	383	383	
0U	20	50	5	2	570	1099	910	586	492	389	394	402	402	402	
1W	20	50	5	2	627	1099	928	565	476	399	391	235	239	372	
2S	20	50	5	2	570	1099	950	563	498	336	255	279	311	311	
0U	20	50	5	3	608	1099	950	602	564	277	285	281	281	281	
1W	20	50	5	3	627	1099	571	76	50	59	75	74	74	74	
2S	20	50	5	3	589	1099	951	605	457	289	299	294	298	299	
0U	20	50	5	4	551	1099	537	318	272	202	180	192	180	186	
1W	20	50	5	4	665	1099	345	55	12	13	22	26	30	30	
2S	20	50	5	4	532	1099	949	529	468	411	365	390	348	348	
0U	20	50	5	5	589	1099	950	540	487	452	411	410	399	399	
1W	20	50	5	5	589	1099	358	45	24	27	34	24	37	37	
2S	20	50	5	5	589	1099	948	603	520	384	388	363	356	356	
0U	20	50	5	6	570	1099	921	529	452	373	390	381	381	381	
1W	20	50	5	6	589	1099	932	527	195	328	40	42	42	42	
2S	20	50	5	6	589	1099	608	60	12	21	19	16	39	24	
